kingdom,IUCNstatus,SpeciesAccepted
Plantae,VU,Dypsis decaryi
Plantae,LR/cd,Phytelephas seemannii
Plantae,LC,Podococcus barteri
Plantae,VU,Pseudophoenix sargentii
Plantae,LC,Ptychosperma macarthurii
Plantae,LR/cd,Rhopalostylis sapida
Plantae,LC,Sabal minor
Plantae,LC,Sabal yapa
Plantae,LC,Thrinax radiata
Plantae,NA,Zamia amblyphyllidia
Plantae,LC,Acacia aneura
Plantae,NA,Acacia bilimekii
Plantae,NA,Acacia suaveolens
Plantae,LC,Acacia victoriae
Plantae,NA,Adesmia volckmannii
Plantae,NA,Ambrosia dumosa
Plantae,LC,Ardisia elliptica
Plantae,LC,Ardisia escallonioides
Plantae,EN,Argyroxiphium sandwicense
Plantae,NA,Atriplex acanthocarpa
Plantae,NA,Atriplex canescens
Plantae,NA,Atriplex vesicaria
Plantae,LC,Banksia ericifolia
Plantae,LC,Betula nana
Plantae,NA,Calluna vulgaris
Plantae,NA,Clidemia hirta
Plantae,LC,Cornus florida
Plantae,NA,Cytisus scoparius
Plantae,NA,Dodonaea viscosa subsp. angustifolia
Plantae,NA,Eremophila forrestii
Plantae,NA,Eremophila maitlandii
Plantae,NA,Eremosparton songoricum
Plantae,NA,Erica ciliaris
Plantae,NA,Fumana procumbens
Plantae,NA,Gardenia actinocarpa
Plantae,NA,Helianthemum juliae
Plantae,LC,Hydrangea paniculata
Plantae,NA,Leucopogon setiger
Plantae,LC,Lindera benzoin
Plantae,NA,Lindera umbellata
Plantae,NA,Lonicera maackii
Plantae,NA,Lupinus arboreus
Plantae,LC,Magnolia salicifolia
Plantae,LC,Miconia albicans
Plantae,NA,Mulinum spinosum
Plantae,NA,Olearia flocktoniae
Plantae,NA,Paliurus ramosissimus
Plantae,CR,Persoonia bargoensis
Plantae,EN,Persoonia glaucescens
Plantae,LC,Persoonia lanceolata
Plantae,LC,Persoonia mollis
Plantae,NA,Petrophile pulchella
Plantae,NA,Purshia subintegra
Plantae,LC,Rhododendron maximum
Plantae,NA,Rhus aromatica
Plantae,NA,Rosa canina
Plantae,NA,Rosa multiflora
Plantae,NA,Rosmarinus tomentosus
Plantae,NA,Rourea induta
Plantae,VU,Rytigynia kigeziensis
Plantae,NA,Senecio filaginoides
Plantae,NA,Stachyurus macrocarpus
Plantae,NA,Tetramolopium arenarium
Plantae,NA,Verticordia staminosa
Plantae,LC,Agave marmorata
Plantae,VU,Agave potatorum
Plantae,LC,Ariocarpus fissuratus
Plantae,EN,Ariocarpus scaphirostris
Plantae,VU,Astrophytum asterias
Plantae,LC,Astrophytum capricorne
Plantae,LC,Astrophytum myriostigma
Plantae,VU,Astrophytum ornatum
Plantae,LC,Carnegiea gigantea
Plantae,EN,Cephalocereus senilis
Plantae,VU,Escobaria robbinsorum
Plantae,LC,Coryphantha werdermannii
Plantae,NA,Echeveria longissima
Plantae,NT,Echinocactus platyacanthus
Plantae,LC,Escontria chiotilla
Plantae,NA,Coespeletia spicata
Plantae,NA,Coespeletia timotensis
Plantae,NA,Euphorbia fontqueriana
Plantae,LC,Furcraea parmentieri
Plantae,NA,Harrisia fragrans
Plantae,VU,Lophophora diffusa
Plantae,EN,Mammillaria crucigera
Plantae,LC,Mammillaria dixanthocentron
Plantae,NA,Mammillaria gaumeri
Plantae,EN,Mammillaria hernandezii
Plantae,LC,Mammillaria huitzilopochtli
Plantae,LC,Mammillaria magnimamma
Plantae,LC,Mammillaria mystax
Plantae,NT,Mammillaria napina
Plantae,EN,Mammillaria pectinifera
Plantae,NA,Mammillaria solisioides
Plantae,EN,Mammillaria supertexta
Plantae,NA,Pseudomitrocereus fulviceps
Plantae,LC,Neobuxbaumia macrocephala
Plantae,LC,Neobuxbaumia mezcalaensis
Plantae,VU,Neobuxbaumia polylopha
Plantae,LC,Neobuxbaumia tetetzo
Plantae,LC,Opuntia macrocentra
Plantae,LC,Opuntia macrorhiza
Plantae,LC,Opuntia microdasys
Plantae,NA,Opuntia rastrera
Plantae,LC,Pachycereus pecten-aboriginum
Plantae,NT,Pediocactus bradyi
Plantae,NA,Pterocereus gaumeri
Plantae,DD,Stenocactus crispatus
Plantae,LC,Stenocereus eruca
Plantae,LC,Abies concolor
Plantae,NT,Abies homolepis
Plantae,LC,Abies magnifica
Plantae,LC,Abies sachalinensis
Plantae,NA,Quercus mongolica subsp. crispula
Plantae,NA,Acacia pennatula
Plantae,LC,Acer palmatum
Plantae,LC,Acer pictum
Plantae,LC,Acer rufinerve
Plantae,LC,Acer saccharum
Plantae,LC,Actinostemon concolor
Plantae,LC,Aesculus turbinata
Plantae,LC,Ailanthus altissima
Plantae,NA,Alnus incana subsp. rugosa
Plantae,VU,Anisoptera laevis
Plantae,EN,Carya sinensis
Plantae,CR,Aquilaria crassna
Plantae,CR,Aquilaria malaccensis
Plantae,EN,Aquilaria microcarpa
Plantae,EN,Araucaria araucana
Plantae,NT,Araucaria hunsteinii
Plantae,NT,Araucaria laubenfelsii
Plantae,EN,Araucaria muelleri
Plantae,LC,Avicennia germinans
Plantae,LC,Avicennia marina
Plantae,VU,Bertholletia excelsa
Plantae,DD,Betula pubescens var. pumila
Plantae,NA,Boswellia papyrifera
Plantae,LC,Brosimum alicastrum
Plantae,LC,Bursera glabrifolia
Plantae,LC,Callitris columellaris
Plantae,LC,Calycophyllum spruceanum
Plantae,LC,Calocedrus decurrens
Plantae,NT,Calocedrus macrolepis
Plantae,LC,Carapa guianensis
Plantae,CR,Castanea dentata
Plantae,LC,Cecropia obtusifolia
Plantae,VU,Cedrela odorata
Plantae,DD,Chlorocardium rodiei
Plantae,LC,Dacrydium elatum
Plantae,NA,Dendropanax trifidus
Plantae,LC,Dicorynia guianensis
Plantae,NT,Dicymbe altsonii
Plantae,VU,Dracaena cinnabari
Plantae,LC,Duguetia neglecta
Plantae,VU,Entandrophragma cylindricum
Plantae,LC,Eperua falcata
Plantae,LC,Fagus crenata
Plantae,LC,Fagus grandifolia
Plantae,LC,Fagus sylvatica
Plantae,NA,Grias peruviana
Plantae,NA,Guettarda viburnoides
Plantae,LC,Juniperus procera
Plantae,VU,Khaya senegalensis
Plantae,LC,Licania heteromorpha
Plantae,NA,Mezilaurus mahuba
Plantae,NA,Magnolia macrophylla var. dealbata
Plantae,LC,Magnolia fordiana
Plantae,LC,Manilkara zapota
Plantae,LC,Melaleuca viridiflora
Plantae,EN,Microberlinia bisulcata
Plantae,NT,Mora paraensis
Plantae,LC,Myrsine guianensis
Plantae,LC,Nothofagus fusca
Plantae,NA,Ocotea usambarensis
Plantae,LC,Oxandra asbeckii
Plantae,EN,Parashorea chinensis
Plantae,LC,Parkinsonia aculeata
Plantae,LC,Pentaclethra macroloba
Plantae,LC,Phyllanthus emblica
Plantae,VU,Phyllanthus indofischeri
Plantae,LC,Picea glehnii
Plantae,LC,Picea jezoensis
Plantae,EN,Pinus albicaulis
Plantae,LC,Pinus jeffreyi
Plantae,NT,Pinus fenzeliana
Plantae,LC,Pinus lambertiana
Plantae,EN,Pinus maximartinezii
Plantae,EN,Pinus palustris
Plantae,LC,Pinus ponderosa
Plantae,LC,Pinus strobus
Plantae,EN,Pinus radiata
Plantae,LC,Pinus sylvestris
Plantae,LC,Platymiscium filipes
Plantae,LC,Prioria copaifera
Plantae,NA,Prosopis flexuosa
Plantae,NA,Prosopis glandulosa
Plantae,NA,Prosopis laevigata
Plantae,VU,Prunus africana
Plantae,LC,Prunus serotina
Plantae,LC,Psidium guajava
Plantae,LC,Pterocarpus angolensis
Plantae,LC,Pterocarya rhoifolia
Plantae,LC,Quercus rugosa
Plantae,LC,Rhizophora mangle
Plantae,NA,Rhododendron ponticum
Plantae,LC,Roupala montana
Plantae,NA,Sapium sebiferum
Plantae,LC,Scaphium macropodum
Plantae,LC,Sclerocarya birrea
Plantae,EN,Sequoia sempervirens
Plantae,LC,Shorea acuminata
Plantae,EN,Shorea bracteolata
Plantae,NT,Shorea leprosula
Plantae,NT,Shorea maxwelliana
Plantae,LC,Shorea ovalis
Plantae,LC,Stryphnodendron microstachyum
Plantae,LC,Styrax obassis
Plantae,EN,Swietenia macrophylla
Plantae,LC,Syzygium jambos
Plantae,NA,Tachigali vasquezii
Plantae,NT,Taxus brevifolia
Plantae,CR,Taxus floridana
Plantae,LC,Tetraberlinia bifoliolata
Plantae,CR,Torreya taxifolia
Plantae,VU,Vatica mangachapoi
Plantae,LC,Virola surinamensis
Plantae,LC,Vochysia ferruginea
Plantae,CR,Vouacapoua americana
Plantae,LC,Ziziphus jujuba
Plantae,LC,Rhizophora mucronata
Plantae,NA,Bruguiera gymnorrhiza
Plantae,LC,Eucalyptus tetrodonta
Plantae,LC,Eucalyptus miniata
Plantae,LC,Corymbia porrecta
Plantae,LC,Oeceoclades maculata
Plantae,NA,Cerastium fontanum
Plantae,NA,Brassavola cucullata
Plantae,LC,Alseis blackiana
Plantae,LC,Beilschmiedia tovarensis
Plantae,LC,Chrysophyllum argenteum
Plantae,LC,Cordia bicolor
Plantae,LC,Cordia lasiocalyx
Plantae,LC,Drypetes standleyi
Plantae,NA,Eugenia coloradoensis
Plantae,LC,Eugenia oerstediana
Plantae,NA,Garcinia recondita
Plantae,LC,Guarea guidonia
Plantae,LC,Guatteria lucens
Plantae,LC,Heisteria concinna
Plantae,LC,Hirtella triandra
Plantae,LC,Inga marginata
Plantae,LC,Lonchocarpus heptaphyllus
Plantae,LC,Maquira guianensis
Plantae,LC,Miconia argentea
Plantae,LC,Ocotea whitei
Plantae,LC,Poulsenia armata
Plantae,LC,Pouteria reticulata
Plantae,LC,Protium tenuifolium
Plantae,LC,Quararibea asterolepis
Plantae,LC,Simarouba amara
Plantae,LC,Swartzia simplex
Plantae,LC,Tabernaemontana arborea
Plantae,NA,Tetragastris panamensis
Plantae,LC,Trichilia tuberculata
Plantae,LC,Unonopsis pittieri
Plantae,LC,Virola sebifera
